product-id,product-name,ext-prim-category-id,primary-product-category-id,categories,remove-from-categories,product-sku,parent-product-sku,position,short-description,long-description,list-price,hsn-code,start-selling-date,is-serialized,is-digital,product-type,weight,weight-uom-id,height,width,depth,dimension-uom-id,product-url-name,publish,sales-channel,bar-code,MPN,currency-uom-id,features,features-options,good-identifications,attributes,brand-name,image,additional-images,charge-shipping,shipping-weight,tags,remove-tags,taxable,comments
,Eyeshadow 101: Eye Color Enhancing Trio - Brown Eyes: Champagne/Cocoa/Bronze,,,,,BROWN-Bundle,julep-8661950922775,4,,,40.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shades,Julep|Brown Eyes: Champagne/Cocoa/Bronze,SHOPIFY_PROD_ID:44168332476439,,Julep,,,,,,,,
,45% OFF Custom Kit,,,,,julep-8648935866391,,,,"Mix. Match. Make It Yours. Build a personalized kit with 3 to 6 of your favorite products and create a look that’s uniquely you! Whether you want everyday essentials or bold pops of color , customize your kit to match your mood—and enjoy incredible savings while supplies last.",,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:8648935866391,,Julep,,,,,,,,
,45% OFF Custom Kit,,,,,44108753731607,julep-8648935866391,1,,,100.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Title,Julep|Standard,SHOPIFY_PROD_ID:44108753731607,,Julep,,,,,,,,
,Pimple Patches + Vitamin E Hydrating Cleansing Oil,,,,,julep-8633634324503,,,,"This bundle includes the Vitamin E Hydrating Cleansing Oil + Makeup Remover and the Patch Me Up Waterproof Pimple Patches. The cleansing oil melts away makeup, dirt, and impurities without stripping skin, while the waterproof patches help clear blemishes, prevent scarring, and soothe irritation.",,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:8633634324503,,Julep,,,,,,,,
,Pimple Patches + Vitamin E Hydrating Cleansing Oil,,,,,VIT-E-PIMP-DUO,julep-8633634324503,1,,,24.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Title,Julep|Standard,SHOPIFY_PROD_ID:44070056198167,,Julep,,,,,,,,
,Vitamin E Hydrating Cream Cleanser,,,,,julep-8214199336983,,,,"Pamper your skin with this rich, creamy cleanser infused with the nourishing power of Vitamin E. Designed to gently lift away impurities, makeup, and excess oil without stripping skin’s natural moisture, this cleanser leaves your complexion soft, supple, and perfectly refreshed.",,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:8214199336983,,Julep,,,,,,,,
,Vitamin E Hydrating Cream Cleanser,,,,,0203-0027002,julep-8214199336983,1,,,22.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Title,Julep|Standard,SHOPIFY_PROD_ID:43548061925399,,Julep,,,,,,,,
,Around the Clock Lip Trio,,,,,julep-7339231313943,,,,"From your basic everyday look to a vampy night out, there's a 24/7 Lip Treatment for that. This trio includes three tinted shades, each packed with the same lip-loving ingredients to treat and hydrate for the long run.",,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:7339231313943,,Julep,,,,,,,,
,Around the Clock Lip Trio,,,,,H24-247LIPTRIO,julep-7339231313943,1,,,33.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Title,Julep|Standard,SHOPIFY_PROD_ID:41668964843543,,Julep,,,,,,,,
,"Complete Lip Kit: Liner, Gloss & Balm",,,,,julep-8186941177879,,,,"*]:pointer-events-auto scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" dir=""auto"" data-turn-id=""request-WEB:5097efa9-b984-4c37-bbd5-8fb49d696475-1"" data-testid=""conversation-turn-4"" data-scroll-anchor=""true"" data-turn=""assistant"" tabindex=""-1"" A perfectly curated lip set designed to deliver effortless color and care in one. Featuring complementary shades inspired by timeless runway looks - from polished nude to rich cherry - this kit lets you create anything from a soft “your lips but better” finish to a bold, classic statement. Each formula glides on smoothly for intense color payoff while keeping lips comfortable and nourished.",,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:8186941177879,,Julep,,,,,,,,
,"Complete Lip Kit: Liner, Gloss & Balm - 90's Lips",,,,,90s-LIPS,julep-8186941177879,1,,,30.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shade,Julep|90's Lips,SHOPIFY_PROD_ID:44744652914711,,Julep,,,,,,,,
,"Complete Lip Kit: Liner, Gloss & Balm - Cherry Lips",,,,,LIPS-CHRY,julep-8186941177879,2,,,30.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shade,Julep|Cherry Lips,SHOPIFY_PROD_ID:44744652947479,,Julep,,,,,,,,
,"Think Pink Lip Kit: Liner, Gloss, and Balm",,,,,julep-7763892404247,,,,"The Pink Lip Kit includes a liner, lipstick, and gloss in a flattering pink shade. It’s hydrating, long-lasting, and perfect for soft, defined lips all day.",,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:7763892404247,,Julep,,,,,,,,
,"Think Pink Lip Kit: Liner, Gloss, and Balm",,,,,THINK-PINK,julep-7763892404247,1,,,31.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Title,Julep|Standard,SHOPIFY_PROD_ID:42649260326935,,Julep,,,,,,,,
,When Pencil Met Gel All-Day Eyeliner Duo: Rich Brown & White Matte,,,,,julep-6971807006743,,,,Eyeliner pencils in Rich Brown and White Matte with a gel formula that glides on smoothly without tugging or skipping. Sets in 30 seconds and provides 10+ hours of wear. Ophthalmologist tested.,,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:6971807006743,,Julep,,,,,,,,
,When Pencil Met Gel All-Day Eyeliner Duo: Rich Brown & White Matte,,,,,9991-9991027,julep-6971807006743,1,,,20.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Title,Julep|Standard,SHOPIFY_PROD_ID:40745797845015,,Julep,,,,,,,,
,Club Julep Rewards,,,,,julep-7245569654807,,,,ebbo LoyaltyAmped,,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:7245569654807,,Julep,,,,,,,,
,Club Julep Rewards - 16.95,,,,,43728509501463,julep-7245569654807,1,,,16.95,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Price,Julep|16.95,SHOPIFY_PROD_ID:43728509501463,,Julep,,,,,,,,
,Club Julep Rewards - 19.95,,,,,43728509534231,julep-7245569654807,2,,,19.95,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Price,Julep|19.95,SHOPIFY_PROD_ID:43728509534231,,Julep,,,,,,,,
